Hospital,Alternative Name,Address,Address 1,Address 2,City,State,Zip,Hospital Website,Latitude,Longitude,Caring System,Funding,Type,Affiliation,Beds,Regular Beds,NICU Beds,Opened,Pediatric Trauma Level,NICU Level,Ranked Specialties,Wikipedia Source
Children's Hospital of Nevada,,"800 Hope Pl, Las Vegas, NV 89106",800 Hope Pl,, Las Vegas,NV,89106,http://www.chnv.org/,36.1609366,-115.168258,,,,,77,,,,Level II Pediatric,3,,https://en.wikipedia.org/w/index.php?title=AnMed_Health_Women%27s_and_Children%27s_Hospital&action=edit&redlink=1
Phoenix Children's Hospital,,"1919 E. Thomas Rd., Phoenix, AZ 85016",1919 E. Thomas Rd.,, Phoenix,AZ,85016,http://www.phoenixchildrens.org/,33.4787437,-112.0409545,,,,,457,,,,Level I Pediatric,3,10,https://en.wikipedia.org/w/index.php?title=Baystate_Children%27s_Hospital&action=edit&redlink=1
AnMed Health Women's and Children's Hospital,,"2000 E Greenville St, Anderson, SC 29621",2000 E Greenville St,, Anderson,SC,29621,https://anmedhealth.org/services/womens-care,34.5455558,-82.629014,,,,,72,,,,,,,https://en.wikipedia.org/w/index.php?title=Blank_Children%27s_Hospital&action=edit&redlink=1
Jeff Gordon's Children's Hospital,,"920 Church St N, Concord, NC 28025",920 Church St N,, Concord,NC,28025,https://atriumhealth.org/medical-services/childrens-services/jeff-gordon-childrens-center,35.4380048,-80.6009469,,,,,,,,,,3,,https://en.wikipedia.org/w/index.php?title=Bronson_Methodist_Children%27s_Health&action=edit&redlink=1
Levine Children's Hospital,,"1000 Blythe Blvd, Charlotte, NC 28203",1000 Blythe Blvd,, Charlotte,NC,28203,https://atriumhealth.org/medical-services/childrens-services/levine-childrens-hospital,35.2034162,-80.8385574,,,,,236,,,,Level I Pediatric,3,8,https://en.wikipedia.org/w/index.php?title=CAMC_Women_and_Children%27s_Hospital&action=edit&redlink=1
St. Joseph's Children's Hospital,,"3001 W Dr Martin Luther King Jr Blvd, Tampa, FL 33614",3001 W Dr Martin Luther King Jr Blvd,, Tampa,FL,33614,https://baycare.org/hospitals/st-josephs-childrens-hospital/patients-and-visitors,27.9820619,-82.4921115,,,,,218,,,,,3,,https://en.wikipedia.org/w/index.php?title=Cardon_Children%27s_Medical_Center&action=edit&redlink=1
University of Virginia Children's Hospital,,"1215 Lee St, Charlottesville, VA 22903",1215 Lee St,, Charlottesville,VA,22903,https://childrens.uvahealth.com/,38.0320013,-78.4986857,,,,,111,,,,,4,5,https://en.wikipedia.org/w/index.php?title=Carilion_Clinic_Children%27s_Hospital&action=edit&redlink=1
West Virginia University Children's Hospital,,"1 Medical Center Dr, Morgantown, WV 26506",1 Medical Center Dr,, Morgantown,WV,26506,https://childrens.wvumedicine.org/,39.6539294,-79.9584129,,,,,105,,,,Level II Pediatric,4,1,https://en.wikipedia.org/w/index.php?title=Children%27s_Hospital_of_Nevada&action=edit&redlink=1
Steven and Alexandra Cohen Children's Medical Center of New York,,"269-01 76th Ave, Queens, NY 11040",269-01 76th Ave,, Queens,NY,11040,https://childrenshospital.northwell.edu/?utm_source=provider_listing&utm_medium=partner&utm_campaign=doctor_dot_com,40.7534275,-73.7082019,,,,,146,,,,Level I Pediatric,4,9,https://en.wikipedia.org/w/index.php?title=Children%27s_Hospital_of_San_Antonio&action=edit&redlink=1
The Children's Hospital at The Medical Center of Central Georgia,,"888 Pine St, Macon, GA 31201",888 Pine St,, Macon,GA,31201,https://childrenshospitalnh.org/,32.8347369,-83.6365472,,,,,73,,,,,3,,https://en.wikipedia.org/w/index.php?title=Children%27s_Hospital_of_Wisconsin-Fox_Valley&action=edit&redlink=1
Children's National Hospital,,"111 Michigan Ave NW, Washington DC, DC 20010",111 Michigan Ave NW,, Washington DC,DC,20010,https://childrensnational.org/,38.9273449,-77.0145221,,,,,313,,,,Level I Pediatric,4,10,https://en.wikipedia.org/w/index.php?title=Children%27s_of_Mississippi&action=edit&redlink=1
Children's Hospital of Wisconsin,,"8915 W Connell Ct, Milwaukee, WI 53226",8915 W Connell Ct,, Milwaukee,WI,53226,https://childrenswi.org/,43.0423976,-88.0240616,,,,,184,,,,Level I Pediatric,4,6,https://en.wikipedia.org/w/index.php?title=Edinburg_Children%27s_Hospital&action=edit&redlink=1
Children's Hospital of Wisconsin-Fox Valley,," 130 2nd St, Neenah, WI 54956", 130 2nd St,, Neenah,WI,54956,https://childrenswi.org/location-directory/locations/hospitals/fox-valley,44.187021,-88.4537599,,,,,,,,,,3,,https://en.wikipedia.org/w/index.php?title=Franciscan_Hospital_for_Children&action=edit&redlink=1
Saint Joseph's Children's Hospital,,"8915 W Connell Ct, Milwaukee, WI 53226",8915 W Connell Ct,, Milwaukee,WI,53226,https://childrenswi.org/location-directory/locations/hospitals/milwaukee-hospital,43.0423976,-88.0240616,,,,,,,,,,3,,https://en.wikipedia.org/w/index.php?title=Golisano_Children%27s_Hospital_of_Southwest_Florida&action=edit&redlink=1
El Paso Children's Hospital,,"4845 Alameda Ave, El Paso, TX 79905",4845 Alameda Ave,, El Paso,TX,79905,https://elpasochildrens.org/,31.7706113,-106.4341629,,,,,122,,,,,3,,https://en.wikipedia.org/w/index.php?title=Holtz_Children%27s_Hospital&action=edit&redlink=1
Franciscan Hospital for Children,,"30 Warren St, Brighton, MA 02135",30 Warren St,, Brighton,MA,2135,https://franciscanchildrens.org/,42.3504335,-71.1445267,,,,,74,,,,,,,https://en.wikipedia.org/w/index.php?title=Hurley_Children%27s_Hospital&action=edit&redlink=1
Prisma Health Children's Hospital–Upstate, Children's Hospital of Greenville Health System,"701 Grove Rd, Greenville, SC 29605",701 Grove Rd,, Greenville,SC,29605,https://ghschildrens.org/,34.8204383,-82.4105089,,,,,170,,,,,3,,https://en.wikipedia.org/w/index.php?title=Joe_DiMaggio_Children%E2%80%99s_Hospital&action=edit&redlink=1
UC Davis Children's Hospital ,,"2521 Stockton Blvd, Sacramento, CA 95817",2521 Stockton Blvd,, Sacramento,CA,95817,https://health.ucdavis.edu/children/,38.5520362,-121.4552866,,,,,125,,,,Level I Pediatric,4,4,https://en.wikipedia.org/w/index.php?title=Lauren_Small_Children%27s_Center_at_Bakersfield_Memorial_Hospital&action=edit&redlink=1
Sacred Heart Children's Hospital,,"1 Bubba Watson Dr, Pensacola, FL 32504",1 Bubba Watson Dr,, Pensacola,FL,32504,https://healthcare.ascension.org/locations/florida/flpen/pensacola-the-studer-family-childrens-hospital-at-ascension-sacred-heart,30.4774705,-87.2126045,,,,,160,,,,,3,,https://en.wikipedia.org/w/index.php?title=McLane_Children%E2%80%99s_Hospital&action=edit&redlink=1
Peyton Manning Children's Hospital,," Ditch Rd & W 86th St, Indianapolis, IN 46260", Ditch Rd & W 86th St,, Indianapolis,IN,46260,https://healthcare.ascension.org/locations/indiana/ineva/indianapolis-peyton-manning-childrens-hospital-at-ascension-st-vincent,39.9122696,-86.1839531,,,,,,,,,,4,,https://en.wikipedia.org/w/index.php?title=Medical_City_Children%27s_Hospital&action=edit&redlink=1
Ascension St. John Children's Hospital,,"22201 Moross Rd STE 270, Detroit, MI 48236",22201 Moross Rd STE 270,, Detroit,MI,48236,https://healthcare.ascension.org/locations/michigan/midet/detroit-ascension-st-john-childrens-hospital-at-22101-moross-rd,42.4188674,-82.9127875,,,,,83,,,,Level II Pediatric,3,,https://en.wikipedia.org/w/index.php?title=Memorial_Hospital_for_Children&action=edit&redlink=1
Dell Children's Medical Center of Central Texas,,"4900 Mueller Blvd, Austin, TX 78723",4900 Mueller Blvd,, Austin,TX,78723,https://healthcare.ascension.org/locations/texas/txaus/austin-dell-childrens-medical-center?utm_campaign=gmb&utm_medium=organic&utm_source=local,30.3024813,-97.7051301,,,,,212,,,,Level I Pediatric,3,,https://en.wikipedia.org/w/index.php?title=Mercy_Kids_Children%27s_Hospital_St._Louis&action=edit&redlink=1
Primary Children's Hospital,,"100 Mario Capecchi Dr, Salt Lake City, UT 84113",100 Mario Capecchi Dr,, Salt Lake City,UT,84113,https://intermountainhealthcare.org/primary-childrens,40.7710597,-111.8386621,,,,,289,,,,Level I Pediatric,3,8,https://en.wikipedia.org/w/index.php?title=MercyOne_Children%27s_Hospital&action=edit&redlink=1
La Rabida Children's Hospital,,"6501 S Promontory Dr #1003, Chicago, IL 60649",6501 S Promontory Dr #1003,, Chicago,IL,60649,https://larabida.org/,41.7774249,-87.5714853,,,,,30,,,,,,,https://en.wikipedia.org/w/index.php?title=Methodist_Children%27s_Hospital&action=edit&redlink=1
Loma Linda University Children's Hospital,,"11234 Anderson St, Loma Linda, CA 92354",11234 Anderson St,, Loma Linda,CA,92354,https://lluch.org/,34.0494519,-117.2641774,,,,,325,,,,Level I Pediatric,4,1,https://en.wikipedia.org/w/index.php?title=Montana_Children%27s_Medical_Center&action=edit&redlink=1
Beacon Children's Hospital,,"615 N Michigan St, South Bend, IN 46601",615 N Michigan St,, South Bend,IN,46601,https://locations.beaconhealthsystem.org/in/south-bend/beacon-childrens-hospital,41.6837044,-86.2519613,,,,,85,,,,,3,,https://en.wikipedia.org/w/index.php?title=Multicare_(Tacoma)&action=edit&redlink=1
Lauren Small Children's Center at Bakersfield Memorial Hospital,,"420 34th St, Bakersfield, CA 93301",420 34th St,, Bakersfield,CA,93301,https://locations.dignityhealth.org/lauren-small-children's-center-at-memorial-hospital,35.3928295,-119.0061541,,,,,74,,,,Level I Pediatric,3,,https://en.wikipedia.org/w/index.php?title=Niswonger_Children%27s_Hospital&action=edit&redlink=1
Maynard Children's Hospital,,"2100 Stantonsburg Rd, Greenville, NC 27834",2100 Stantonsburg Rd,, Greenville,NC,27834,https://locations.ecuhealth.org/greenville/maynard-childrens-hospital-at-ecu-health-medical-center.html,35.60757,-77.4038515,,,,,130,,,,Level II Pediatric,3,,https://en.wikipedia.org/w/index.php?title=Palm_Beach_Children%27s_Hospital&action=edit&redlink=1
Medical City Children's Hospital,,"7777 Forest Ln Entrance, Dallas, TX 75230 ",7777 Forest Ln Entrance,, Dallas,TX,75230,https://medicalcityhealthcare.com/locations/medical-city-childrens-hospital/,32.9126714,-96.7744115,,,,,181,,,,Level II Pediatric,3,,https://en.wikipedia.org/w/index.php?title=Prisma_Health_Children%27s_Hospital%E2%80%93Upstate&action=edit&redlink=1
University Pediatric Hospital (Medical Science Campus),,"1810 Albion St, Nashville, TN 37208",1810 Albion St,, Nashville,TN,37208,https://meharrymedicalgroup.com/,36.1663671,-86.8063861,,,,,54,,,,,3,,https://en.wikipedia.org/w/index.php?title=Providence_Memorial_Children%27s_Hospital&action=edit&redlink=1
Dwaine & Cynthia Willett Children’s Hospital of Savannah,,"4700 Waters Ave, Savannah, GA 31404",4700 Waters Ave,, Savannah,GA,31404,https://memorialhealth.com/locations/memorial-health-dwaine-and-cynthia-willett-childrens-hospital-of-savannah/,32.0294501,-81.0899956,,,,,,,,,,3,,https://en.wikipedia.org/w/index.php?title=Puerto_Rico_Children%27s_Hospital&action=edit&redlink=1
Children's Memorial Hermann Hospital,,"6411 Fannin St, Houston, TX 77030",6411 Fannin St,, Houston,TX,77030,https://memorialhermann.org/locations/childrens-memorial-hermann-hospital,29.7137406,-95.3960954,,,,,310,,,,Level I Pediatric,4,2,https://en.wikipedia.org/w/index.php?title=Renown_Children%27s_Hospital&action=edit&redlink=1
MUSC Shawn Jenkins Children's Hospital,,"10 McClennan Banks Dr, Charleston, SC 29425",10 McClennan Banks Dr,, Charleston,SC,29425,https://muschealth.org/patients-visitors/coronavirus-information?utm_source=Yext&utm_medium=Listings&utm_campaign=covid19,32.7827304,-79.9520642,,,,,250,,,,Level I Pediatric,4,4,https://en.wikipedia.org/w/index.php?title=Rocky_Mountain_Hospital_for_Children&action=edit&redlink=1
Cleveland Clinic Children's Hospital,,"9500 Euclid Ave, Cleveland, OH 44106",9500 Euclid Ave,, Cleveland,OH,44106,https://my.clevelandclinic.org/pediatrics,41.5028172,-81.6217051,,,,,389,,,,,3,10,https://en.wikipedia.org/w/index.php?title=Saint_Joseph%27s_Children%27s_Hospital&action=edit&redlink=1
Norton Children's Hospital,,"231 E Chestnut St, Louisville, KY 40202",231 E Chestnut St,, Louisville,KY,40202,https://nortonchildrens.com/,38.2484474,-85.7496969,,,,,300,,,,Level I Pediatric,4,2,https://en.wikipedia.org/w/index.php?title=Saint_Mary%27s_Children%27s_Hospital&action=edit&redlink=1
Hassenfeld Children's Hospital,,"430 E 34th St, New York, NY 10016",430 E 34th St,, New York,NY,10016,https://nyulangone.org/locations/hassenfeld-childrens-hospital,40.7433787,-73.973086,,,,,102,,,,,3,,https://en.wikipedia.org/w/index.php?title=San_Jorge_Children%27s_Hospital&action=edit&redlink=1
Our Lady of the Lake Children's Hospital,,"8300 Constantin Blvd, Baton Rouge, LA 70809",8300 Constantin Blvd,, Baton Rouge,LA,70809,https://ololchildrens.org/,30.4006371,-91.0980377,,,,,90,,,,,,,https://en.wikipedia.org/w/index.php?title=Sanford_Health_Children%27s_Hospital&action=edit&redlink=1
Holtz Children's Hospital,,"1611 NW 12th Ave, Miami, FL 33136",1611 NW 12th Ave,, Miami,FL,33136,https://pediatrics.jacksonhealth.org/,25.7902495,-80.2129502,,,,,217,,,,,3,1,https://en.wikipedia.org/w/index.php?title=Studer_Family_Children%27s_Hospital&action=edit&redlink=1
Floating Hospital for Children,,"755 Washington St, Boston, MA 02111",755 Washington St,, Boston,MA,2111,https://pediatrics.tuftsmedicalcenter.org/,42.3499489,-71.0640897,,,,,62,,,,Level I Pediatric,3,,https://en.wikipedia.org/w/index.php?title=The_Children%27s_Hospital_at_Providence&action=edit&redlink=1
Prisma Health Children's Hospital–Midlands,Palmetto Health Children's Hospital,"7 Richland Medical Park Dr, Columbia, SC 29203",7 Richland Medical Park Dr,, Columbia,SC,29203,https://prismahealthchildrens.org/locations/hospitals/childrens-hospital-midlands?utm_source=gmb&utm_medium=Yext,34.027767,-81.032015,,,,,163,,,,Level II Pediatric,3,,https://en.wikipedia.org/w/index.php?title=The_Herman_%26_Walter_Samuelson_Children%27s_Hospital_at_Sinai&action=edit&redlink=1
Ranken Jordan Pediatric Bridge Hospital,," 11365 Dorsett Rd, Maryland Heights, MO 63043", 11365 Dorsett Rd,, Maryland Heights,MO,63043,https://rankenjordan.org/,38.7099806,-90.4150949,,,,,34,,,,,,,https://en.wikipedia.org/w/index.php?title=UMass_Memorial_Children%27s_Medical_Center&action=edit&redlink=1
Rocky Mountain Hospital for Children,,"2001 High St, Denver, CO 80205",2001 High St,, Denver,CO,80205,https://rockymountainhospitalforchildren.com/,39.7468547,-104.9654816,,,,,157,,,,Level IV Pediatric,3,,https://en.wikipedia.org/w/index.php?title=University_of_Kentucky_Children%27s_Hospital&action=edit&redlink=1
Methodist Children's Hospital,,"7700 Floyd Curl Dr, San Antonio, TX 78229",7700 Floyd Curl Dr,, San Antonio,TX,78229,https://sahealth.com/locations/methodist-hospital,29.5079662,-98.573097,,,,,,,,,,3,,https://en.wikipedia.org/w/index.php?title=University_of_Vermont_Children%27s_Hospital&action=edit&redlink=1
North Shore Children's Hospital,,"81 Highland Avenue, Salem, MA ",81 Highland Avenue,, Salem,MA,,https://salem.massgeneralbrigham.org/,42.5117136,-70.9068894,,,,,,,,,,2,,https://en.wikipedia.org/wiki/AdventHealth
San Jorge Children's Hospital,,"258 C. San Jorge, San Juan, 00912, Puerto Rico",258 C. San Jorge,, San Juan,Puerto Rico,912,https://sanjorgechildrenshospital.com/,18.4468796,-66.0630394,,,,,87,,,,,,,https://en.wikipedia.org/wiki/Advocate_Children%27s_Hospital
Texas Scottish Rite Hospital for Children,,"2222 Welborn St, Dallas, TX 75219",2222 Welborn St,, Dallas,TX,75219,https://scottishriteforchildren.org/,32.8022656,-96.8138755,,,,,52,,,,,,1,https://en.wikipedia.org/wiki/Akron_Children%27s_Hospital
Sunrise Children's Hospital,,"3186 S Maryland Pkwy, Las Vegas, NV 89109",3186 S Maryland Pkwy,, Las Vegas,NV,89109,https://sunrisechildrenshospital.com/,36.1327154,-115.1358324,,,,,,,,,,3,,https://en.wikipedia.org/wiki/American_Family_Children%27s_Hospital
St. Christopher's Hospital for Children,,"160 E Erie Ave, Philadelphia, PA 19134",160 E Erie Ave,, Philadelphia,PA,19134,https://towerhealth.org/locations/st-christophers-hospital-children,40.0058921,-75.1269909,,,,,119,,,,Level I Pediatric,4,,https://en.wikipedia.org/wiki/Arkansas_Children%27s_Hospital
UF Health Shands Children's Hospital,,"1600 SW Archer Rd, Gainesville, FL 32608",1600 SW Archer Rd,, Gainesville,FL,32608,https://ufhealth.org/uf-health-shands-children-s-hospital,29.6399529,-82.3426742,,,,,208,,,,,4,8,https://en.wikipedia.org/wiki/Arnold_Palmer_Hospital_for_Children
University of Iowa Stead Family Children's Hospital,,"200 Hawkins Dr, Iowa City, IA 52242",200 Hawkins Dr,, Iowa City,IA,52242,https://uichildrens.org/,41.6605049,-91.5484633,,,,,187,,,,Level I Pediatric,4,5,https://en.wikipedia.org/wiki/Ascension_Michigan
University of Kentucky Children's Hospital,,"800 Rose Street Fourth Floor, Lexington, KY 40536",800 Rose Street,Fourth Floor, Lexington,KY,40536,https://ukhealthcare.uky.edu/,38.0329054,-84.5067373,,,,,157,,,,Level I Pediatric,3,2,https://en.wikipedia.org/wiki/Atrium_Health_Cabarrus
AdventHealth For Children,,"601 E Rollins St, Orlando, FL 32803",601 E Rollins St,, Orlando,FL,32803,https://www.adventhealth.com/hospital/adventhealth-children,28.5751245,-81.3696726,,,,,198,,,,,3,1,https://en.wikipedia.org/wiki/Barbara_Bush_Children%27s_Hospital
Advocate Children's Hospital,," 1775 Dempster St, Park Ridge, IL 60068", 1775 Dempster St,, Park Ridge,IL,60068,https://www.advocatechildrenshospital.com/,42.0384809,-87.8480892,,,,,250,,,,,3,1,https://en.wikipedia.org/wiki/Blythedale_Children%27s_Hospital
Akron Children's Hospital,,"214 W Bowery St, Akron, OH 44308",214 W Bowery St,, Akron,OH,44308,https://www.akronchildrens.org/,41.0798157,-81.5251555,,,,,434,,,,Level II Pediatric,3,4,https://en.wikipedia.org/wiki/Boston_Children%27s_Hospital
Arkansas Children's Hospital,,"1 Children's Way, Little Rock, AR 72202",1 Children's Way,, Little Rock,AR,72202,https://www.archildrens.org/,34.7429496,-92.2929685,,,,,336,,,,Level I Pediatric,4,4,https://en.wikipedia.org/wiki/Bradley_Hospital
Arnold Palmer Hospital for Children,,"92 W Miller St, Orlando, FL 32806",92 W Miller St,, Orlando,FL,32806,https://www.arnoldpalmerhospital.com/,28.5233918,-81.3800672,,,,,210,,,,Level I Pediatric,3,5,https://en.wikipedia.org/wiki/Brenner_Children%27s_Hospital
Goryeb Children's Hospital,,"100 Madison Ave, Morristown, NJ 07960",100 Madison Ave,, Morristown,NJ,7960,https://www.atlantichealth.org/locations/hospitals/goryeb-childrens-hospital.html,40.7891384,-74.4650459,,,,,69,,,,,4,,https://en.wikipedia.org/wiki/Bristol_Myers_Squibb_Children%27s_Hospital
Children's Hospital of Georgia,,"1446 Harper St, Augusta, GA 30912",1446 Harper St,, Augusta,GA,30912,https://www.augustahealth.org/childrens-hospital-of-georgia/,33.4711973,-81.987893,,,,,117,,,,Level II Pediatric,3,,https://en.wikipedia.org/wiki/C.S._Mott_Children%27s_Hospital
Niswonger Children's Hospital,,"400 N State of Franklin Rd, Johnson City, TN 37604",400 N State of Franklin Rd,, Johnson City,TN,37604,https://www.balladhealth.org/locations/hospitals/niswonger-childrens,36.3076885,-82.384745,,,,,73,,,,,3,,https://en.wikipedia.org/wiki/Cardinal_Glennon_Children%27s_Hospital
Wolfson Children's Hospital,,"800 Prudential Dr, Jacksonville, FL 32207",800 Prudential Dr,, Jacksonville,FL,32207,https://www.baptistjax.com/,30.3156917,-81.6636869,,,,,272,,,,Level I Pediatric,4,3,https://en.wikipedia.org/wiki/Children%27s_Healthcare_of_Atlanta
Baystate Children's Hospital,,"759 Chestnut St, Springfield, MA 01199",759 Chestnut St,, Springfield,MA,1199,https://www.baystatehealth.org/locations/childrens-hospital,42.1229423,-72.6037297,,,,,,,,,Level II Pediatric,3,,https://en.wikipedia.org/wiki/Children%27s_Hospital_%26_Medical_Center
Blythedale Children's Hospital,,"95 Bradhurst Ave, Valhalla, NY 10595",95 Bradhurst Ave,, Valhalla,NY,10595,https://www.blythedale.org/,41.0747317,-73.7997948,,,,,86,,,,,,,https://en.wikipedia.org/wiki/Children%27s_Hospital_at_Erlanger
Saint Mary's Children's Hospital,,"5801 Bremo Rd, Richmond, VA 23226",5801 Bremo Rd,, Richmond,VA,23226,https://www.bonsecours.com/locations/hospitals-medical-centers/richmond/st-marys-hospital,37.5842894,-77.5126186,,,,,,,,,,3,,https://en.wikipedia.org/wiki/Children%27s_Hospital_at_Montefiore
Bronson Methodist Children's Health,,"601 John St, Kalamazoo, MI 49007",601 John St,, Kalamazoo,MI,49007,https://www.bronsonhealth.com/locations/bronson-childrens-hospital,42.2869198,-85.5810074,,,,,,,,,,,,https://en.wikipedia.org/wiki/Children%27s_Hospital_Colorado
Salah Foundation Children’s Hospital,,"1600 S Andrews Ave, Fort Lauderdale, FL 33316",1600 S Andrews Ave,, Fort Lauderdale,FL,33316,https://www.browardhealth.org/locations/salah-foundation-childrens-hospital,26.1018675,-80.1405904,,,,,135,,,,,3,,https://en.wikipedia.org/wiki/Children%27s_Hospital_Los_Angeles
McLane Children’s Hospital,,"1901 SW H K Dodgen Loop, Temple, TX 76502",1901 SW H K Dodgen Loop,, Temple,TX,76502,https://www.bswhealth.com/mclane-childrens/locations/temple-specialty-clinic,31.0748761,-97.3754366,,,,,112,,,,Level II Pediatric,4,,https://en.wikipedia.org/wiki/Children%27s_Hospital_of_Michigan
CAMC Women and Children's Hospital,,"800 Pennsylvania Ave N, Charleston, WV 25302",800 Pennsylvania Ave N,, Charleston,WV,25302,https://www.camc.org/locations/camc-women-and-childrens-hospital,38.3594503,-81.6367294,,,,,,,,,,3,,https://en.wikipedia.org/wiki/Children%27s_Hospital_of_New_Orleans
